time	type	subtype	content
0.000	info	experiment_name	Meg\3x3_field_drifting_value_bandit
0.000	info	task_name	Meg\3x3_field_drifting_value_bandit
0.000	info	task_file_hash	2651649461
0.000	info	setup_id	Bottom_small_maze_1
0.000	info	framework_version	2.0.1
0.000	info	micropython_version	1.222
0.000	info	subject_id	MY_72_L
0.000	info	start_time	2026-03-30T10:56:57.873
0.000	variable	run_start	{"num_t_found": 0, "no_rew_cue_dur": 500.0, "p_ud": 0.125, "min_hold": 2, "ses_length": 60, "curr_poke": null, "t_ses_start": 8, "arm_to_stream": {"B1": 0, "A1": 1}, "long_pokes": [], "poke_hold_dur": 200.0, "found_ports": true, "curr_rew_mag": {"B1": 3, "A1": 4, "C1": 0}, "num_blocks": 1, "num_problem": 10, "tot_num_blocks": 11, "ITI_dur": 1000.0, "rank_counts": {"best": 0, "second": 0, "third": 0}, "min_block_len": 30, "rew_mags": [1, 2, 3, 4], "init_cue_dur": 500.0, "hw_solenoid_calibration": {"B1": {"i": 47.95, "s": 1.22}, "A1": {"i": 47.61, "s": 1.26}, "A2": {"i": 47.52, "s": 1.27}, "A3": {"i": 49.11, "s": 1.1}, "C1": {"i": 46.6, "s": 1.37}, "C2": {"i": 39.05, "s": 2.15}, "C3": {"i": 40.2, "s": 2.04}, "B3": {"i": 38.45, "s": 2.22}, "B2": {"i": 2.33, "s": 8.12}}, "stream_state": [2, 3], "pulse_isi": 300.0, "base_choice_vol": 2, "found_t_thresh": 4, "problems": {"6": ["C2", "A1", "A3"], "7": ["C3", "A3", "B3"], "8": ["B3", "A2", "C1"], "9": ["B3", "C2", "B1"], "10": ["A1", "B1", "C1"], "5": ["A1", "C1", "C3"]}, "inactive_arm": "C1", "num_t": 0, "max_block_len": 35, "num_t_in_block": 11, "num_long_pokes": 0, "pulses_deliv": 0, "curr_block_len": 33, "found_port_counts": null, "stream_hold": [1, 1], "change_chosen": true, "p_bi": 0.9, "num_rew_pulses": null, "tot_rew_amt": 0}
0.001	state		wait_init
0.006	event	sync	rsync
2.967	event	input	B2_in
2.975	state		wait_choice
3.093	event	input	B2_out
3.475	event	timer	init_cue_timer
3.964	event	input	C1_in
3.967	state		hold_poke
4.142	event	input	C1_out
4.145	state		wait_choice
4.194	event	input	C1_in
4.197	state		hold_poke
4.397	event	timer	poke_hold_timer
4.397	state		poked_in
4.398	variable	print	{"num_t": 1, "num_t_in_block": 12, "num_blocks": 1, "curr_block_len": 33, "chosen_tow": "C1", "chosen_rank": "third", "num_long_pokes": 0, "long_pokes": [], "stream_state": [2, 3], "stream_hold": [1, 1], "inactive_arm": "C1", "arm_to_stream": {"B1": 0, "A1": 1}, "num_rew_pulses": 0, "curr_rew_mag": {"B1": 3, "A1": 4, "C1": 0}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 0, "A1": 0, "C1": 1}, "rank_counts": {"best": 0, "second": 0, "third": 1}, "tot_rew_amt": 0}
4.407	state		ITI
4.463	event	sync	rsync
4.540	event	input	C1_out
4.902	event	timer	no_rew_cue_timer
5.407	state		wait_init
6.460	event	input	B2_in
6.469	state		wait_choice
6.554	event	input	B2_out
6.968	event	timer	init_cue_timer
7.213	event	input	B1_in
7.216	state		hold_poke
7.416	event	timer	poke_hold_timer
7.416	state		poked_in
7.417	variable	print	{"num_t": 2, "num_t_in_block": 13, "num_blocks": 1, "curr_block_len": 33, "chosen_tow": "B1", "chosen_rank": "second", "num_long_pokes": 0, "long_pokes": [], "stream_state": [2, 3], "stream_hold": [1, 1], "inactive_arm": "C1", "arm_to_stream": {"B1": 0, "A1": 1}, "num_rew_pulses": 3, "curr_rew_mag": {"B1": 3, "A1": 4, "C1": 0}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 1, "A1": 0, "C1": 1}, "rank_counts": {"best": 0, "second": 1, "third": 1}, "tot_rew_amt": 6}
7.423	state		choice
7.468	event	input	B1_out
7.521	event	input	B1_in
7.725	event	timer	pulse_off_timer
7.779	event	timer	pulse_on_timer
8.083	event	timer	pulse_off_timer
8.137	event	timer	pulse_on_timer
8.441	event	timer	pulse_off_timer
8.495	event	timer	pulse_on_timer
8.499	state		ITI
9.500	state		wait_init
9.963	event	input	B1_out
10.837	event	sync	rsync
11.078	event	input	A1_in
11.126	event	input	A1_out
11.821	event	input	B2_in
11.829	state		wait_choice
11.873	event	input	B2_out
12.329	event	timer	init_cue_timer
13.925	event	input	A1_in
13.926	state		hold_poke
14.126	event	timer	poke_hold_timer
14.126	state		poked_in
14.127	variable	print	{"num_t": 3, "num_t_in_block": 14, "num_blocks": 1, "curr_block_len": 33, "chosen_tow": "A1", "chosen_rank": "best", "num_long_pokes": 0, "long_pokes": [], "stream_state": [2, 3], "stream_hold": [1, 1], "inactive_arm": "C1", "arm_to_stream": {"B1": 0, "A1": 1}, "num_rew_pulses": 4, "curr_rew_mag": {"B1": 3, "A1": 4, "C1": 0}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 1, "A1": 1, "C1": 1}, "rank_counts": {"best": 1, "second": 1, "third": 1}, "tot_rew_amt": 14}
14.133	state		choice
14.155	event	sync	rsync
14.156	event	input	A1_out
14.197	event	input	A1_in
14.433	event	timer	pulse_off_timer
14.483	event	timer	pulse_on_timer
14.783	event	timer	pulse_off_timer
14.833	event	timer	pulse_on_timer
15.133	event	timer	pulse_off_timer
15.183	event	timer	pulse_on_timer
15.483	event	timer	pulse_off_timer
15.533	event	timer	pulse_on_timer
15.533	state		ITI
16.533	state		wait_init
17.213	event	input	A1_out
18.611	event	input	B2_in
18.619	state		wait_choice
18.660	event	input	B2_out
19.119	event	timer	init_cue_timer
20.128	event	input	A1_in
20.129	state		hold_poke
20.329	event	timer	poke_hold_timer
20.329	state		poked_in
20.330	variable	print	{"num_t": 4, "num_t_in_block": 15, "num_blocks": 1, "curr_block_len": 33, "chosen_tow": "A1", "chosen_rank": "best", "num_long_pokes": 0, "long_pokes": [], "stream_state": [2, 3], "stream_hold": [1, 1], "inactive_arm": "C1", "arm_to_stream": {"B1": 0, "A1": 1}, "num_rew_pulses": 4, "curr_rew_mag": {"B1": 3, "A1": 4, "C1": 0}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 1, "A1": 2, "C1": 1}, "rank_counts": {"best": 2, "second": 1, "third": 1}, "tot_rew_amt": 22}
20.336	state		choice
20.636	event	timer	pulse_off_timer
20.686	event	timer	pulse_on_timer
20.986	event	timer	pulse_off_timer
21.036	event	timer	pulse_on_timer
21.336	event	timer	pulse_off_timer
21.386	event	timer	pulse_on_timer
21.686	event	timer	pulse_off_timer
21.736	event	timer	pulse_on_timer
21.736	state		ITI
22.662	event	sync	rsync
22.736	state		wait_init
24.798	event	sync	rsync
25.212	event	input	A1_out
28.114	event	input	B2_in
28.122	state		wait_choice
28.334	event	input	B2_out
28.622	event	timer	init_cue_timer
28.909	event	input	B1_in
28.913	state		hold_poke
29.113	event	timer	poke_hold_timer
29.113	state		poked_in
29.114	variable	print	{"num_t": 5, "num_t_in_block": 16, "num_blocks": 1, "curr_block_len": 33, "chosen_tow": "B1", "chosen_rank": "second", "num_long_pokes": 0, "long_pokes": [], "stream_state": [2, 3], "stream_hold": [1, 1], "inactive_arm": "C1", "arm_to_stream": {"B1": 0, "A1": 1}, "num_rew_pulses": 3, "curr_rew_mag": {"B1": 3, "A1": 4, "C1": 0}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 2, "A1": 2, "C1": 1}, "rank_counts": {"best": 2, "second": 2, "third": 1}, "tot_rew_amt": 28}
29.120	state		choice
29.422	event	timer	pulse_off_timer
29.476	event	timer	pulse_on_timer
29.780	event	timer	pulse_off_timer
29.834	event	timer	pulse_on_timer
30.138	event	timer	pulse_off_timer
30.192	event	timer	pulse_on_timer
30.196	state		ITI
31.197	state		wait_init
32.853	event	input	B1_out
33.721	event	sync	rsync
34.018	event	input	B2_in
34.027	state		wait_choice
34.048	event	input	B2_out
34.526	event	timer	init_cue_timer
34.716	event	input	B1_in
34.719	state		hold_poke
34.919	event	timer	poke_hold_timer
34.919	state		poked_in
34.920	variable	print	{"num_t": 6, "num_t_in_block": 17, "num_blocks": 1, "curr_block_len": 33, "chosen_tow": "B1", "chosen_rank": "second", "num_long_pokes": 0, "long_pokes": [], "stream_state": [2, 3], "stream_hold": [1, 1], "inactive_arm": "C1", "arm_to_stream": {"B1": 0, "A1": 1}, "num_rew_pulses": 3, "curr_rew_mag": {"B1": 3, "A1": 4, "C1": 0}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 3, "A1": 2, "C1": 1}, "rank_counts": {"best": 2, "second": 3, "third": 1}, "tot_rew_amt": 34}
34.926	state		choice
35.228	event	timer	pulse_off_timer
35.282	event	timer	pulse_on_timer
35.586	event	timer	pulse_off_timer
35.640	event	timer	pulse_on_timer
35.944	event	timer	pulse_off_timer
35.998	event	timer	pulse_on_timer
36.002	state		ITI
37.003	state		wait_init
38.643	event	input	B1_out
38.668	event	sync	rsync
39.883	event	input	B2_in
39.891	state		wait_choice
39.904	event	input	B2_out
40.391	event	timer	init_cue_timer
40.594	event	input	B1_in
40.597	state		hold_poke
40.797	event	timer	poke_hold_timer
40.797	state		poked_in
40.798	variable	print	{"num_t": 7, "num_t_in_block": 18, "num_blocks": 1, "curr_block_len": 33, "chosen_tow": "B1", "chosen_rank": "second", "num_long_pokes": 0, "long_pokes": [], "stream_state": [2, 3], "stream_hold": [1, 1], "inactive_arm": "C1", "arm_to_stream": {"B1": 0, "A1": 1}, "num_rew_pulses": 3, "curr_rew_mag": {"B1": 3, "A1": 4, "C1": 0}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 4, "A1": 2, "C1": 1}, "rank_counts": {"best": 2, "second": 4, "third": 1}, "tot_rew_amt": 40}
40.804	state		choice
41.106	event	timer	pulse_off_timer
41.160	event	timer	pulse_on_timer
41.464	event	timer	pulse_off_timer
41.518	event	timer	pulse_on_timer
41.822	event	timer	pulse_off_timer
41.876	event	timer	pulse_on_timer
41.881	state		ITI
42.881	state		wait_init
44.025	event	sync	rsync
44.496	event	input	B1_out
45.643	event	input	B2_in
45.651	state		wait_choice
45.659	event	input	B2_out
46.151	event	timer	init_cue_timer
46.325	event	input	B1_in
46.329	state		hold_poke
46.344	event	sync	rsync
46.528	event	timer	poke_hold_timer
46.528	state		poked_in
46.529	variable	print	{"num_t": 8, "num_t_in_block": 19, "num_blocks": 1, "curr_block_len": 33, "chosen_tow": "B1", "chosen_rank": "second", "num_long_pokes": 0, "long_pokes": [], "stream_state": [2, 3], "stream_hold": [1, 1], "inactive_arm": "C1", "arm_to_stream": {"B1": 0, "A1": 1}, "num_rew_pulses": 3, "curr_rew_mag": {"B1": 3, "A1": 4, "C1": 0}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 5, "A1": 2, "C1": 1}, "rank_counts": {"best": 2, "second": 5, "third": 1}, "tot_rew_amt": 46}
46.536	state		choice
46.838	event	timer	pulse_off_timer
46.892	event	timer	pulse_on_timer
47.196	event	timer	pulse_off_timer
47.250	event	timer	pulse_on_timer
47.554	event	timer	pulse_off_timer
47.608	event	timer	pulse_on_timer
47.612	state		ITI
48.613	state		wait_init
50.612	event	input	B1_out
51.721	event	input	B2_in
51.730	state		wait_choice
51.745	event	input	B2_out
52.229	event	timer	init_cue_timer
52.313	event	input	B1_in
52.316	state		hold_poke
52.516	event	timer	poke_hold_timer
52.516	state		poked_in
52.517	variable	print	{"num_t": 9, "num_t_in_block": 20, "num_blocks": 1, "curr_block_len": 33, "chosen_tow": "B1", "chosen_rank": "second", "num_long_pokes": 0, "long_pokes": [], "stream_state": [2, 3], "stream_hold": [2, 2], "inactive_arm": "C1", "arm_to_stream": {"B1": 0, "A1": 1}, "num_rew_pulses": 3, "curr_rew_mag": {"B1": 3, "A1": 4, "C1": 0}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 6, "A1": 2, "C1": 1}, "rank_counts": {"best": 2, "second": 6, "third": 1}, "tot_rew_amt": 52}
52.524	state		choice
52.826	event	timer	pulse_off_timer
52.880	event	timer	pulse_on_timer
53.184	event	timer	pulse_off_timer
53.238	event	timer	pulse_on_timer
53.542	event	timer	pulse_off_timer
53.596	event	timer	pulse_on_timer
53.601	state		ITI
53.740	event	sync	rsync
54.601	state		wait_init
56.809	event	input	B1_out
57.002	event	sync	rsync
58.340	event	input	B2_in
58.348	state		wait_choice
58.368	event	input	B2_out
58.848	event	timer	init_cue_timer
58.982	event	input	B1_in
58.986	state		hold_poke
59.185	event	timer	poke_hold_timer
59.185	state		poked_in
